arXiv:1108.0184, Title: Modelling Chaotic Data
arXiv:1108.6104, Title: A modified Prékopa's approach in optimum allocation in multivariate  stratified random sampling
arXiv:1108.6214, Title: Likelihood Consensus and Its Application to Distributed Particle  Filtering
arXiv:1108.0020, Title: Bayesian Methods for Analysis and Adaptive Scheduling of Exoplanet  Observations
arXiv:1108.0129, Title: Identifiability and inference of non-parametric rates-across-sites  models on large-scale phylogenies
arXiv:1108.0481, Title: Degree Bounds for a Minimal Markov Basis for the Three-State Toric  Homogeneous Markov Chain Model
arXiv:1108.0486, Title: High-Performance Pseudo-Random Number Generation on Graphics Processing  Units
arXiv:1108.0523, Title: Priors for New Physics
arXiv:1108.0600, Title: Improving stochastic estimates with inference methods: calculating  matrix diagonals
arXiv:1108.0920, Title: The multivariate Piecing-Together approach revisited
arXiv:1108.1179, Title: Two Unordered Queues
arXiv:1108.1510, Title: How Hidden are Hidden Processes? A Primer on Crypticity and Entropy  Convergence
arXiv:1108.1860, Title: Percentile rank scores are congruous indicators of relative performance,  or aren't they?
arXiv:1108.2820, Title: Ensemble Risk Modeling Method for Robust Learning on Scarce Data
arXiv:1108.2840, Title: Generalised elastic nets
arXiv:1108.2903, Title: Kernel Methods for the Approximation of Nonlinear Systems
arXiv:1108.3072, Title: Training Logistic Regression and SVM on 200GB Data Using b-Bit Minwise  Hashing and Comparisons with Vowpal Wabbit (VW)
arXiv:1108.3112, Title: Phylogenetic mixtures: Concentration of measure in the large-tree limit
arXiv:1108.3154, Title: Stability Conditions for Online Learnability
arXiv:1108.3298, Title: A Machine Learning Perspective on Predictive Coding with PAQ
arXiv:1108.3350, Title: Exact Reconstruction Conditions for Regularized Modified Basis Pursuit
arXiv:1108.3476, Title: Structured Sparsity and Generalization
arXiv:1108.3479, Title: The semicircle law for matrices with independent diagonals
arXiv:1108.4079, Title: Toward Parts-Based Scene Understanding with Pixel-Support Parts-Sparse  Pictorial Structures
arXiv:1108.4973, Title: Learning from Complex Systems: On the Roles of Entropy and Fisher  Information in Pairwise Isotropic Gaussian Markov Random Fields
arXiv:1108.5266, Title: Fluctuations of an improved population eigenvalue estimator in sample  covariance matrix models
arXiv:1108.5464, Title: Limit Theory for the largest eigenvalues of sample covariance matrices  with heavy-tails
arXiv:1108.5560, Title: Living on the multi-dimensional edge: seeking hidden risks using regular  variation
arXiv:1108.5669, Title: Learning Valuation Functions
arXiv:1108.5781, Title: Phase Transition in Distance-Based Phylogeny Reconstruction
arXiv:1108.6003, Title: Characterization and exploitation of community structure in cover song  networks
arXiv:1108.6043, Title: Optimal Data Split Methodology for Model Validation
arXiv:1108.6121, Title: The Value of Feedback in Decentralized Detection
arXiv:1108.6271, Title: Optimizing the quantity/quality trade-off in connectome inference
arXiv:1108.5011, Title: Gaussian behavior on hyperplanes
arXiv:1108.0775, Title: Optimization with Sparsity-Inducing Penalties
arXiv:1108.1320, Title: Compressed Matrix Multiplication
arXiv:1108.3438, Title: On a class of explicit Cauchy-Stieltjes transforms related to monotone  stable and free Poisson laws
